Id;Nem;SzuletesiEv;Suly;Magassag;Dohanyzik;Nemzetiseg;Nepcsoport;Tartomany;NettoJovedelem;IskolaiVegzettseg;PolitikaiNezet;AktivSzavazo;SorFogyasztasEvente;KrumpliFogyasztasEvente
246;férfi;1984;90;175;igen;szír;;Észak-Rajna-Vesztfália;31000;;szocialista;nem;35;50
247;nő;1987;68;170;nem;török;;Berlin;32000;Realschule;konzervatív;nem;50;60
248;férfi;1992;75;180;igen;lengyel;;Hamburg;27000;Gymnasium;liberális;nem;20;50
249;nő;1983;65;168;nem;orosz;;Bréma;33000;Hauptschule;egyéb;igen;35;45
250;férfi;1989;80;182;igen;szír;;Berlin;31000;;konzervatív;nem;50;60
251;nő;1981;72;165;nem;török;;Észak-Rajna-Vesztfália;29000;Gesamtschule;liberális;nem;20;50
252;férfi;1986;88;180;igen;lengyel;;Berlin;35000;Realschule;szocialista;nem;35;55
253;nő;1992;68;160;nem;orosz;;Hamburg;27000;Gymnasium;egyéb;igen;50;40
254;férfi;1983;85;175;igen;szír;;Berlin;31000;;liberális;nem;20;50
255;férfi;1985;75;180;igen;nigériai;;Berlin;27000;;egyéb;nem;30;40
256;nő;1990;62;165;nem;etióp;;Hamburg;29000;;liberális;nem;20;NA
257;férfi;1984;88;182;igen;egyiptomi;;Bréma;31000;;egyéb;nem;35;50
258;nő;1989;70;160;nem;dél-afrikai;;Berlin;28000;Realschule;egyéb;nem;NA;45
259;férfi;1992;82;175;igen;kenyai;;Baden-Württemberg;35000;;konzervatív;nem;40;60
260;nő;1987;68;168;nem;marokkói;;Bajorország;30000;;liberális;nem;30;50
261;férfi;1983;85;180;igen;ghánai;;Berlin;27000;;egyéb;nem;NA;60
262;nő;1991;65;162;nem;tanzániai;;Hamburg;29000;;konzervatív;nem;35;55
263;férfi;1986;80;185;igen;ugandai;;Berlin;31000;Grundschule;liberális;nem;25;45
264;nő;1982;72;167;nem;algériai;;Bréma;28000;;egyéb;nem;NA;50
265;férfi;1990;90;180;igen;szudáni;;Észak-Rajna-Vesztfália;35000;;egyéb;nem;40;60
266;nő;1985;68;165;nem;angolai;;Berlin;30000;;konzervatív;nem;NA;50
267;férfi;1989;75;175;igen;nigériai;;Hamburg;27000;;egyéb;nem;25;45
268;nő;1993;65;162;nem;etióp;;Bréma;29000;;szocialista;nem;NA;50
269;férfi;1984;88;185;igen;egyiptomi;;Berlin;31000;;egyéb;nem;NA;60
270;nő;1990;70;168;nem;dél-afrikai;;Baden-Württemberg;28000;Gymnasium;egyéb;nem;NA;50
271;férfi;1987;80;180;igen;kenyai;;Bajorország;30000;;liberális;nem;30;55
272;nő;1983;72;165;nem;marokkói;;Berlin;27000;;szocialista;nem;20;60
273;férfi;1991;82;182;igen;ghánai;;Hamburg;29000;;egyéb;nem;NA;40
274;nő;1986;68;160;nem;tanzániai;;Berlin;31000;;liberális;nem;25;50
275;férfi;1982;90;175;igen;ugandai;;Bréma;28000;Hauptschule;szocialista;nem;20;55
276;nő;1990;65;168;nem;algériai;;Észak-Rajna-Vesztfália;35000;;egyéb;nem;NA;60
277;férfi;1985;78;180;igen;szudáni;;Berlin;30000;;egyéb;nem;30;50
278;nő;1991;68;165;nem;angolai;;Hamburg;27000;;liberális;nem;NA;40
279;férfi;1984;82;175;igen;nigériai;;Bréma;29000;;egyéb;nem;20;50
280;nő;1992;70;160;nem;etióp;;Berlin;31000;;populista;nem;NA;60
281;férfi;1983;88;185;igen;egyiptomi;;Baden-Württemberg;28000;;egyéb;nem;NA;50
282;nő;1989;72;168;nem;dél-afrikai;;Bajorország;30000;Grundschule;egyéb;nem;NA;55
283;férfi;1987;75;180;igen;kenyai;;Berlin;27000;;szocialista;nem;20;60
